user_id,target_r,target_g,target_b,achieved_r,achieved_g,achieved_b,tL,ta,tb,aL,aa,ab,tC,aC,delta_e_stored,delta_e_recon,skip_perception,mixing_model
QNT7GS,169,120,74,0,0,255,54.41079343325427,13.911311572501916,32.648173901076035,32.299375201436156,79.1913962872024,-107.86546414496824,35.48841851565279,133.81418310898945,55.44902475795642,55.44902475795642,,mixbox
QNT7GS,169,120,74,176,59,55,54.41079343325427,13.911311572501916,32.648173901076035,42.209686231376125,47.27665655536717,28.781223742553497,35.48841851565279,55.34836126908426,23.249583650694216,23.249583650694216,,mixbox
BV0O9B,127,36,87,126,37,85,30.551454345448732,43.7726511380295,-8.998211843430893,30.43765158260109,42.80069905318623,-7.880530608041902,44.687949203682365,43.52014018940773,0.6149942431252096,0.6149942431252096,acceptable,mixbox
BV0O9B,185,119,52,185,118,53,55.844443531699866,19.919659351233797,46.105127453851956,55.61421748997478,20.525691593666075,45.38377724795024,50.22425316722121,49.809549814165756,0.6367445228902647,0.6367445228902647,acceptable,mixbox
BV0O9B,205,87,91,207,85,92,52.457573436188554,47.141216164510894,21.454815590734665,52.44018044110729,48.851884380804286,20.89848764163743,51.793854592041846,53.134295829183074,0.8096828585848836,0.8096828585848648,acceptable,mixbox
BV0O9B,80,62,41,80,62,43,27.60312812375011,4.6397760176526415,15.887421040457694,27.64228107506372,4.893228468459188,14.669429383785682,16.551062467731864,15.46401769561889,0.9000995837950928,0.90009958379509,acceptable,mixbox
K0OSWU,182,137,96,189,135,95,60.5002426068222,12.003412404228364,28.595362094242006,60.75925301138642,15.944898499581306,29.631458661249034,31.012523964469516,33.649117827296166,2.7206293159821477,2.7206293159821477,unacceptable,mixbox
K0OSWU,83,51,44,81,50,45,24.917298002768902,13.515161309899243,10.439492412874385,24.386720861796455,13.361766433442334,9.002876634898694,17.077546283674927,16.11175316112654,1.09795705395286,1.09795705395286,unacceptable,mixbox
K0OSWU,228,183,190,221,169,184,78.50851672201486,17.273608535633866,2.6249551813476657,74.3241947353392,21.327161824131192,-0.2816486590625722,17.471918656701877,21.329021483411534,4.406288054862561,4.406288054862561,unacceptable,mixbox
K0OSWU,121,135,78,121,136,75,53.96636335789327,-14.852238990012424,28.92129648952334,54.21873710019271,-15.753266825376866,30.85696870451533,32.51200383937232,34.64560481941336,0.886438231026109,0.886438231026109,acceptable,mixbox
K0OSWU,185,119,52,189,118,45,55.844443531699866,19.919659351233797,46.105127453851956,56.05493547376015,21.86965533850127,49.69110989112438,50.22425316722121,54.290774785746386,1.2528050514264473,1.2528050514264473,acceptable,mixbox
QNT7GS,203,75,44,197,7,0,49.391055360423195,49.24478569025431,44.178472657557876,41.25644847134488,65.2483846871349,55.42058438695713,66.15728504128373,85.60836920577437,8.979823388181202,8.979823388181222,,mixbox
QNT7GS,203,75,44,179,76,41,49.391055360423195,49.24478569025431,44.178472657557876,45.517381492409726,39.848640935587824,40.47471915319787,66.15728504128373,56.79891790292882,5.103453907367057,5.103453907367064,,mixbox
QNT7GS,203,75,44,201,61,66,49.391055360423195,49.24478569025431,44.178472657557876,47.17241682803788,55.33308575765028,29.322142426583987,66.15728504128373,62.622187888545994,9.368711438150628,9.368711438150656,,mixbox
QNT7GS,203,75,44,106,63,54,49.391055360423195,49.24478569025431,44.178472657557876,31.54613013159721,17.66315979195232,13.462501491488776,66.15728504128373,22.20869559979556,21.691841214517886,21.691841214517893,,mixbox
QNT7GS,203,75,44,0,0,0,49.391055360423195,49.24478569025431,44.178472657557876,0.0,0.0,0.0,66.15728504128373,0.0,44.82619687189273,44.82619687189274,,mixbox
BV0O9B,127,36,87,127,35,90,30.551454345448732,43.7726511380295,-8.998211843430893,30.528321184587433,44.569619775002955,-10.990451353751673,44.687949203682365,45.90469505233116,0.976723076580698,0.9767230765806979,identical,mixbox
BV0O9B,131,101,81,131,106,81,45.25846596458234,9.119507952608185,15.956561072964604,46.61557987268054,6.178167564574344,17.791190555334758,18.378717761936855,18.833380361267892,3.869612269885004,3.869612269885004,,mixbox
